校区,楼宇/地点名称,是否有AED,最近的AED,位置描述
北校区,21号公寓楼,否,学生公寓25,延21栋出口向东直走，即可到达学生公寓25门口
北校区,学生公寓25,是,,从正门进入楼宇后，AED在门边墙上
北校区,融合楼,是,,从正门进入楼宇后，AED在右侧墙上
北校区,等离子体楼,否,融合楼,延出口向南走，走到道路尽头后右转，即可到达融合楼门口
东校区,黄山路大门,是,,
东校区,教学行政楼,是,,
东校区,管理科学教学科研楼,是,,
东校区,科研楼,是,,
东校区,第五教学楼,是,,
东校区,固态量子芯片实验室,否,科研楼,
东校区,所系结合专家公寓1,是,,
东校区,所系结合专家公寓2,否,所系结合专家公寓1,
东校区,专家楼,否,教学行政楼,
东校区,第一教学楼,是,,
东校区,USTC1958,否,第一教学楼,
东校区,老干部活动中心,是,,
东校区,水上报告厅,是,,
东校区,第二教学楼,是,,
东校区,少年班,否,第二教学楼,
东校区,东区中门,是,,
东校区,办公楼,是,,
东校区,图书馆,是,,
东校区,学生公寓47,否,食堂,
东校区,食堂,是,,
东校区,师生活动中心,是,,
东校区,行政楼,是,,
东校区,校史馆,否,行政楼,
东校区,服务楼,否,师生活动中心,
东校区,档案馆,否,学生公寓215,
东校区,学生公寓320,是,,
东校区,学生公寓321,是,,
东校区,学生公寓322,是,,
东校区,学生公寓323,是,,
东校区,运动场,是,,
东校区,人文学院,是,,
东校区,羽毛球馆,是,,
东校区,研究生公寓364,是,,
东校区,研究生公寓365,是,,
东校区,化材院行政楼,否,环境与资源楼,
东校区,可再生洁净能源实验室,否,人文学院,
东校区,国际学院,否,学生服务中心,
东校区,学生公寓229,是,,
东校区,学生公寓230,是,,
东校区,学生公寓221,是,,
东校区,学生公寓222,是,,
东校区,学生公寓215,是,,
东校区,学生公寓216,是,,
东校区,学生服务中心,是,,
东校区,东区西小门,是,,
东校区,学生公寓366,是,,
东校区,学生公寓367,是,,
东校区,校医院综合楼,是,,
东校区,环境与资源楼,是,,
东校区,材料楼,是,,
东校区,礼堂,否,单分子科学楼,
东校区,化学实验楼,否,近代物理楼,
东校区,近代物理楼,是,,
东校区,单分子科学楼,是,,
东校区,计算小楼,是,,
东校区,新数学楼（物理楼）,否,,
东校区,基础科学教学实验中心,是,,
东校区,物质科学教研楼,是,,
东校区,地球和空间科学前沿研究中心,是,单分子科学楼,
中校区,学生公寓1,是,,从正门上二楼，通过闸机后右转，AED在走廊尽头的左侧墙上
中校区,学生公寓2,是,,从正门上二楼，通过闸机后左转，AED在走廊尽头的左侧墙上
中校区,学生公寓3,是,,从正门上二楼，通过闸机后左转，AED在走廊尽头的左侧墙上
中校区,学生公寓4,是,,从正门上二楼，通过闸机后右转，AED在走廊尽头的左侧墙上
中校区,学生公寓5,是,,从正门上二楼，通过闸机后右转，AED在走廊尽头的左侧墙上。一楼的健身房中还有一台AED
中校区,学生公寓6,是,,从正门上二楼，通过闸机后左转，AED在走廊尽头的左侧墙上
中校区,能源保障站房,否,学生公寓5,从本科生院出口离开，直走约五十米左转，走约二十米后右侧即为五号楼的健身房。注：此处AED不用上楼但需要关注健身房的开放时间
中校区,游泳馆,是,,从正门进入后走左侧下到负1楼，通过闸机后AED在右侧墙上
中校区,综合馆,是,,从正门进入后，AED在左侧的墙上
中校区,训练馆,是,,从正门进入后，先左转，再右转，AED在台球厅大门右侧的墙上
中校区,医学中心楼,是,,上楼梯进正门，AED在正面的柱子上
中校区,理化科学实验中心,是,,上楼梯进正门，AED在左侧柱子背后
中校区,应用化学楼,否,学生生活服务中心,离开正门后，过马路前往左前方，即可到达学生生活服务中心
中校区,学生生活服务中心,是,,上二楼进桃李苑餐厅，右转约三十米处，AED在右边的柱子上
西校区,西区北门,是,,
西校区,科技实验楼,是,,
西校区,图书馆,是,,
西校区,生命科学楼,是,,
西校区,西区东门,是,,
西校区,教工餐厅,否,西区东门,
西校区,力一楼,是,,
西校区,力二楼,是,,
西校区,力三楼,否,力二楼,
西校区,力四楼,是,,
西校区,电一楼,是,,
西校区,电二楼,是,,
西校区,电三楼,否,电一楼,
西校区,电四楼,是,,
西校区,学生食堂,是,,
西校区,学生公寓7,否,学生公寓8,
西校区,学生公寓8,是,,
西校区,学生公寓9,是,,
西校区,学生公寓10,是,,
西校区,学生公寓11,否,学生公寓10,
西校区,气膜馆,否,学生公寓8,
西校区,工程试验小楼,否,学生公寓8,
西校区,国家同步辐射新光源,否,学生公寓8,
西校区,专家楼,否,学生公寓8,
西校区,加速器八角厅,否,加速器办公楼,
西校区,加速器实验楼,否,加速器办公楼,
西校区,加速器办公楼,是,,
西校区,国家同步辐射实验室,是,,
西校区,加速器电源房,否,国家同步辐射实验室,
西校区,小白楼,否,火灾试验厅群房,
西校区,火灾试验厅群房,是,,
西校区,火灾楼,否,火灾试验厅群房,
西校区,火灾实验楼,否,火灾试验厅群房,
西校区,先导C洁净实验室,否,KTX实验室,
西校区,加速器实验楼,否,KTX实验室,
西校区,KTX实验室,是,,
西校区,力五楼,否,特种实验楼,
西校区,特种实验楼,是,,
西校区,教三楼,是,,
西校区,西区学生活动中心,是,,
西校区,学生公寓1,是,,
西校区,学生公寓2,是,,
西校区,学生公寓3,是,,
西校区,学生公寓4,是,,
西校区,学生公寓5,是,,
西校区,运动场,否,西区学生活动中心,
西校区,食堂,是,,
西校区,浴室,否,食堂,
西校区,医学前沿科学和计算智能前沿技术研究中心,否,食堂,
高新校区,1号学生公寓,是,,从正门进入楼宇并通过闸机后，AED在右侧墙上
高新校区,2号学生公寓,是,,从正门进入楼宇并通过闸机后，AED在右侧墙上
高新校区,3号学生公寓,是,,从正门进入楼宇并通过闸机后，AED在右侧墙上
高新校区,4号学生公寓,是,,从正门进入楼宇并通过闸机后，AED在右侧墙上
高新校区,5号学生公寓,是,,从正门进入楼宇并通过闸机后，AED在右侧墙上
高新校区,6号学生公寓,是,,从正门进入楼宇并通过闸机后，AED在右侧墙上
高新校区,7号学生公寓,是,,从正门进入楼宇并通过闸机后，AED在右侧柱子后面的墙上
高新校区,8号学生公寓,是,,从正门进入楼宇并通过闸机后，AED在右侧柱子后面的墙上
高新校区,体育场,是,,从操场方向进入主席台下方的房间，AED在右侧墙上
高新校区,体育馆,是,,从正门进入楼宇并通过闸机后，AED在右侧墙上
高新校区,学生食堂,是,,从A区一楼正门进入后右转，绕过扶梯后在右侧的墙上
高新校区,师生活动中心,是,,从正门进入楼宇后左转，AED在服务台正后方的墙上
高新校区,人才公寓,是,,从正门进入楼宇并通过闸机后，AED在正面的墙上
高新校区,教工食堂,是,,从正门进入楼宇后上二楼，进右侧门，左前方可见。注：教工食堂已废弃，此AED需要通过两道上锁的门，建议转移。
高新校区,行政服务中心,否,人才公寓,出A区大门，直行约40米，右侧即为人才公寓
高新校区,图书教育中心,是,,"从正门进入楼宇后左转，AED在服务台后左侧的墙上。剩下两个AED分别在图书教育中心B,C区服务台的右后方。"
高新校区,3号学科楼,否,图书教育中心,出西门可沿华罗庚路向北50米到达图书教育中心C区；出东门可沿赵忠尧路前往图书教育中心C区
高新校区,2号学科楼,否,信智楼,出东北侧大门向北走约五十米到达信智楼大门。注：前往新智楼A区车库处的AED路程更近，但是车库门有可能关闭。
高新校区,1号学科楼,否,信智楼,出东南侧大门向南走约五十米到达信智楼大门。注：前往信智楼C区车库处的AED路程更近，但是车库门口有升降杆，不方便通过。
高新校区,信智楼,是,,"从正门进入楼宇后左转，AED在电梯左侧的墙上。剩下两个AED分别在A,C区的车库中"
